date,latitude,longitude,depth,mag,status,locationSource,magSource,is_replica
24229,-16.8,-69.5,152,4.8,automatic,IGP,IGP,0
24234,-5.21,-76.1,101,4.8,automatic,IGP,IGP,0
24238,-7.12,-74.46,152,4.5,automatic,IGP,IGP,0
24240,-15.43,-70.83,214,4.8,automatic,IGP,IGP,1
24246,-17.69,-71.5,72,4.8,automatic,IGP,IGP,0
24248,-8.107,-74.387,156,4.9,automatic,IGP,IGP,0
24252,-17.7,-70.6,73,4.7,automatic,IGP,IGP,1
24252,-9.48,-77.07,161,4.7,automatic,IGP,IGP,1
24253,-17.16,-73.07,38,4.6,automatic,IGP,IGP,1
24258,-8.651,-74.41,170,5.1,automatic,IGP,IGP,0
24259,-16.56,-73.52,83,4.8,automatic,IGP,IGP,1
24260,-15.712,-71.799,137,5,automatic,IGP,IGP,0
24260,-14.4,-76,43,4.7,automatic,IGP,IGP,0
24262,-16.1,-74.9,8,4.7,automatic,IGP,IGP,0
24262,-16.1,-74.7,10,4.7,automatic,IGP,IGP,0
